tipo_instrumento;ano_instrumento;mes_instrumento;categoria_valor;orgao_recebedor;codigo_orgao_recebedor;natureza_doador;doador_comodante;objeto_descritivo;quantidade_objeto;vigencia;processo_sei;recurso_tjmg_ou_mpmg
Termo de Comodato;2025,0;1;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Segurança Pública do Bairro Beira Rio - São Gonçalo do Abaeté/MG;Caminhonete L200, TRITON OUTDOOR GLX 2.4, 04 Portas, ano 2021/2021, cor branca, placa RMP8D96, chassi 93XDJKL1TMCM36523, combustível: Diesel, km: 79.700;1,0;60 meses;1250.01.0020672/2024-29;Não
Termo de Comodato;2025,0;1;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Integrado de Proteção Ambiental - CIPAM;Veículo Caminhonete, marca Mitsubishi L200 Triton GLX 2.4 D 4x4 MT, placa TCF-9128, Chassi 93XDJKL1TSCR82618, motor n° 4N15BAL2969, ano fabricação 2024, modelo 2025, na cor branca;1,0;60 meses;1250.01.0020698/2024-06;Não
Termo de Doação;2025,0;1;Entre 100 k e 500k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Fundação Salvar;Automóvel FIAT/STRADA FREEDOM CD13;1,0;Não se aplica;1400.01.0019790/2022-27;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Douglas Walace de Oliveira;Cães das raças PASTOR BELGA MALINOIS, PASTOR HOLANDÊS e ROTTWEILER ;5,0;Não se aplica;1450.01.0227122/2024-05;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Samuel de Souza Ruback;CÃO DA RAÇA PASTOR BELGA MALINOIS;2,0;Não se aplica;1450.01.0089381/2024-32;Não
Termo de Comodato;2025,0;1;Entre 100 k e 500k;PolÍcia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Meio Ambiente e Segurança Pública de Viçosa – COMASP;Fiat Toro Volc AT9, tração 4X4, cabine dupla, motor a diesel, cor branca, câmbio automático, ano de fabricação 2024, modelo 2024, chassi 9882261ZPRKF79121, placa SYY1C52, RENAVAM 01395940972;1,0;60 meses;1250.01.0019069/2024-48;Não
Termo de Doação;2025,0;1;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Público;Prefeitura Municipal de Coronel Fabriciano/MG;Automóvel Caminhonete L200 Triton 2.4 D, 4x4 MT, Ano modelo: 2024/2025, Placa: SCU2C28, Cor branca;1,0;Não se aplica;1250.01.0005731/2024-13;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Conselho comunitário de segurança pública do setor IV de Ipatinga;Equipamento para Treinamento de Bombeiro do 11º BBM;1,0;Não se aplica;1400.01.0009626/2024-36;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP.;1451,0;Privado;Josué Avelino;Cão Macho Raça: Pastor Alemão, Capa Preta pelo curto;1,0;Não se aplica;1450.01.0220057/2024-58;Não
Termo de Transferência de Bem Móvel;2025,0;1;Entre 100 k e 500k;Polícia Civil do Estado de Minas Gerais​ – PCMG;1511,0;Privado;Conselho Comunitário de Segurança de Coromandel/MG – CONSEP;Automóvel marca FIAT STRADA VOLCANO CD 1.3 FLEX, de cor preta, placa SYJ6C54, ano/modelo 2023/2023, chassi 9BD281BRJPYE43835;1,0;Não se aplica;1510.01.0308651/2023-59;Não
